iter	Passed	Remaining
0	173	17219
1	183	8988
2	201	6506
3	217	5218
4	234	4458
5	248	3896
6	264	3520
7	280	3222
8	311	3152
9	332	2989
10	347	2814
11	366	2687
12	382	2558
13	401	2468
14	428	2425
15	448	2354
16	481	2352
17	500	2278
18	532	2271
19	563	2252
20	615	2315
21	640	2271
22	675	2262
23	713	2260
24	750	2252
25	779	2219
26	796	2152
27	820	2109
28	861	2109
29	876	2046
30	898	1999
31	925	1965
32	960	1949
33	974	1891
34	1004	1864
35	1038	1847
36	1112	1894
37	1154	1883
38	1183	1851
39	1207	1810
40	1226	1764
41	1253	1730
42	1273	1687
43	1295	1649
44	1307	1597
45	1319	1549
46	1345	1517
47	1370	1484
48	1386	1442
49	1398	1398
50	1412	1357
51	1421	1312
52	1437	1275
53	1451	1236
54	1460	1195
55	1471	1156
56	1483	1118
57	1494	1081
58	1502	1044
59	1513	1009
60	1522	973
61	1533	939
62	1543	906
63	1552	873
64	1564	842
65	1578	812
66	1587	781
67	1596	751
68	1607	722
69	1616	692
70	1626	664
71	1635	635
72	1645	608
73	1652	580
74	1662	554
75	1672	528
76	1681	502
77	1691	476
78	1699	451
79	1710	427
80	1722	404
81	1733	380
82	1746	357
83	1758	334
84	1769	312
85	1779	289
86	1792	267
87	1805	246
88	1815	224
89	1828	203
90	1842	182
91	1856	161
92	1869	140
93	1881	120
94	1894	99
95	1903	79
96	1911	59
97	1921	39
98	1929	19
99	1940	0
